round,accuracy,precision,recall,f1
1,0.9104477611940298,0.7697217787298722,0.819913715622145,0.7903168538872635
2,0.9332285938727416,0.8915923242627086,0.920044026175309,0.9010565011255113
3,0.9332285938727416,0.8923377434231257,0.9209148326052904,0.9015671260014528
4,0.9300864100549883,0.88670653506582,0.9183022764606511,0.8969818041048562
5,0.9308719560094265,0.888696653136209,0.918651170400999,0.8983439957160989
6,0.9308719560094265,0.888696653136209,0.9186511704009991,0.8983439957160987
7,0.9347996857816182,0.8944695569768631,0.9237589608918869,0.9042780728602129
8,0.9324430479183032,0.8892793559522775,0.9190958171315666,0.8989567263282682
9,0.9371563236449332,0.8956991519292422,0.9281216741825113,0.9065236907156069
10,0.9395129615082483,0.8996802289096756,0.9203657903266286,0.9053933553525407
